,,
0603B104K101XD,20,"C1,C2,C4,C5,C8,C13,C15,C16,C17,C19,C21,C22,C23,C24,C30,C31,C48,C49,C56,C58"
KGM32LCG3D102JU,3,"C3,C34,C35"
0603B105K500XD,5,"C6,C25,C36,C54,C55"
1206W226K250PB,8,"C7,C9,C28,C50,C51,C52,C53,C57"
0603B223K500SD,2,"C10,C37"
0603B682K101SD,2,"C11,C12"
0603B103K101SD,3,"C14,C20,C29"
0603W475K160XD,1,C18
1206B473K251GB,1,C26
EEH-ZA1J220XP,1,C27
1206B225K101PB,2,"C32,C33"
0603N101J101SD,2,"C38,C39"
0603W106M250XD,6,"C40,C41,C44,C45,C46,C47"
EEH-ZA1E101XP,2,"C42,C43"
SS210-HF,2,"D1,D2"
GG0603052R542P,2,"D3,D4"
SMBJ58CA-13-F,1,D5
MMSD4148T1G,5,"D6,D7,D8,D9,D13"
BAT54ST-7-F,1,D10
TL431DBZ,1,D11
MMSZ5240BT1G,2,"D12,D14"
1N4148W-13-F,1,D15
PJ-002AH-SMT-TR,1,J1
PJ-002AH-SMT-TR,1,J2
DX07S016JA1R1500,1,J3
ARJP11A-MASA-B-A-EMU2,1,J4
B6B-ZR-SM4-TF,1,J5
B5B-ZR-SM4-TF,1,J6
B4B-ZR-SM4-TF,1,J7
B4B-ZR-SM4-TF,1,J8
22272031,1,J9
22272031,1,J10
22272031,1,J11
G6K-2G-TR DC5,1,K1
MPZ2012S101AT000,4,"L1,L2,L3,L4"
BLM21PG600SN1D,3,"L5,L6,L14"
FBMH1608HL121-TV,1,L7
SRF3225TAP-501Y,1,L8
SRU8028-3R3Y,1,L9
LPS6235-155MRC,1,L10
SRR1280-220M,1,L11
DR74-3R3-R,1,L12
DR74-2R2-R,1,L13
BC846BPDW1T1G,1,Q1
FDMC2523P,1,Q2
FDS86242,1,Q3
CSD19534Q5A,2,"Q4,Q7"
FCX493TA,2,"Q5,Q6"
MMBT3904-7-F,1,Q8
RCS08051M00FKEA,1,R1
RCS06035K10FKEA,2,"R2,R3"
RCS060322K1FKEA,1,R4
RCS06030000Z0EA,10,"R5,R6,R12,R21,R22,R23,R25,R26,R27,R55"
RCS06031K00FKEA,6,"R7,R28,R29,R30,R31,R51"
RCS060347K5FKEA,1,R8
RCS060310K0FKEA,11,"R9,R10,R11,R40,R49,R52,R57,R59,R60,R61,R62"
RCS060310R0FKEA,1,R13
RCS060349R9FKEA,4,"R14,R15,R16,R17"
RCS060312K4FKEA,1,R18
RCS0603330RFKEA,3,"R19,R20,R70"
RCS060333R0FKEA,1,R24
RCS06031K00FKEA,3,"R32,R36,R41"
RCS06034K64FKEA,1,R33
RCS060369K8FKEA,1,R34
RCS060340K2FKEA,1,R35
RCS060363K4FKEA,1,R37
RCS060324K9FKEA,2,"R38,R47"
RCS06034R70FKEA,2,"R39,R43"
RCS0603499RFKEA,1,R42
RCS06032R49FKEA,1,R44
RCWE1206R100FKEA,1,R45
RCS06032K00FKEA,4,"R46,R48,R50,R54"
RCS06032K61FKEA,1,R53
RCS060356K2FKEA,1,R56
RCS060333K2FKEA,1,R58
RCS06034K70FKEA,7,"R63,R64,R65,R66,R67,R68,R69"
EXB-V8V3R3JV,1,RN1
FSMSM,1,SW1
FSMSM,1,SW2
PA4065NL,1,T1
USBLC6-2SC6,1,U1
CP2102N-A02-GQFN24R,1,U2
ESDS314DBVR,1,U3
W5500,1,U4
TPS23754PWPR,1,U5
HMHA2801A,1,U6
PC357N4J000F,1,U7
TPS563208DDCR,2,"U8,U9"
ESP32-C6-WROOM-1U-N16,1,U10
SN74AHCT1G125DCKR,1,U11
ECS-2520MV-250-BN-TR,1,Y1
